Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I love this song 😍💙,Ugx9xpSw-ihctIAAyI54AaABAg,0,0
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Today's my first time seeing this video and I'm really upset that he has a $12 hoodie and a candy necklace OVER the half a Bentley around his neck 🤣🤣,UgyV_vUCI_y7aAXDm_t4AaABAg,0,0
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"""SHES SPEAKING IN TOUNGES, THAT BE THE DEVILS TUNE""",UgxyaE-AMOtKC__y1eZ4AaABAg,8,267
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,** THIS SONG SOUNDS LIKE TWO SONGS IN ONE😊**,Ugy23YErBEZ5keMrlb94AaABAg,5,3
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Congratulations on the millions of views,UgwLRPZ09zBxT7fDX7Z4AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Fun fact : People finds hard to believe that this song is 1 year old,UgyFyRr5H_ofGktUSKp4AaABAg,1,15
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"You don't miss the person.
You only miss the memories .",Ugy79xJZptrjaTu8Lkl4AaABAg,0,19
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,4 years waiting for the masses to wake up to pizza gate. Justice is coming.,Ugx4cvIEGGPPPUc12BN4AaABAg,7,206
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,🇧🇷❤️,UgyCatT0eypX_STVA_B4AaABAg,0,3
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Haciendo pública su entrega  voluntaria, dejando a la vista que sabe perfectamente lo que fue y lo que quiere, rogando por que se digan las palabras para su ascenso. 🍕💵👼🔪😈",Ugwa-6PpzKYSYLA7REd4AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Mi mamá que  no sabe inglés entiende en el coro que dicen ""chepe chepe""",UgyQgRr7bwnrjc6E0Il4AaABAg,10,57
